# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 02:19:00   12  13   8  19   0  52
 2025-01-01 02:19:30   12  13   8  19   0  52
 2025-01-01 02:20:00   12  13   8  19   0  52
 2025-01-01 02:20:30   12  13   8  19   0  52
 2025-01-01 02:21:00   12  13   8  19   0  52
 2025-01-01 02:21:30   13  13   8  19   0  53
 2025-01-01 02:22:00   13  13   8  19   0  53
 2025-01-01 02:22:30   12  13   8  19   0  52
 2025-01-01 02:23:00   13  13   8  19   0  53
 2025-01-01 02:23:30   13  13   8  19   0  53
 2025-01-01 02:24:00   11  13   8  19   0  51
 2025-01-01 02:24:30   12  13   8  19   1  53
 2025-01-01 02:25:00   12  13   8  19   0  52
 2025-01-01 02:25:30   12  13   8  19   0  52
 2025-01-01 02:26:00   12  13   8  19   0  52
 2025-01-01 02:26:30   12  13   8  19   0  52
 2025-01-01 02:27:00   12  13   7  19   0  51
 2025-01-01 02:27:30   12  13   7  19   0  51
 2025-01-01 02:28:00   12  13   7  19   0  51
 2025-01-01 02:28:30   12  13   7  19   0  51
 2025-01-01 02:29:00   12  13   7  19   0  51
 2025-01-01 02:29:30   12  12   6  19   0  49
 2025-01-01 02:30:00   13  12   6  19   0  50
 2025-01-01 02:30:30   13  12   6  19   0  50
 2025-01-01 02:31:00   13  12   6  19   0  50
 2025-01-01 02:31:30   13  12   6  20   0  51
 2025-01-01 02:32:00   13  12   6  20   0  51
 2025-01-01 02:32:30   13  12   6  20   0  51
 2025-01-01 02:33:00   13  12   6  20   0  51
 2025-01-01 02:33:30   13  12   6  20   0  51
 2025-01-01 02:34:00   13  12   6  20   0  51
 2025-01-01 02:34:30   13  12   6  20   0  51
 2025-01-01 02:35:00   13  12   6  20   0  51
 2025-01-01 02:35:30   13  12   6  20   0  51
 2025-01-01 02:36:00   13  12   6  20   1  52
