# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : Carrier-to-Noise Ratio [dBHz]
# Time      : 2025-05-05 15:49:29
#             END OF HEADER

+SYS
    gSys   AVE   MIN   MAX
--------------------------
       C  38.9  18.0  53.4
       E  39.2  18.0  55.1
       G  37.8   1.8  57.7
       J  32.9  19.6  38.8
       R  40.7  17.8  52.7
--------------------------
+SYS

+SAT
 prnFreq   AVE   MIN   MAX
--------------------------
 G11_S5Q  39.2  22.6  45.8
 G05_S1C  43.2  26.6  49.9
 G05_S2L  41.0  22.3  46.8
 G05_S1W  40.4  16.4  51.6
 G05_S2W  40.4  16.4  51.6
 G13_S1C  42.5  24.8  50.0
 G13_S1W  29.9   2.8  44.1
 G13_S2W  29.9   2.8  44.1
 G15_S1C  43.3  28.5  48.1
 G15_S1W  39.9  14.9  47.8
 G15_S2W  39.9  14.9  47.8
 G15_S2L  40.5  24.1  45.1
 G29_S1C  39.2  19.6  48.1
 G29_S1W  34.0   8.5  48.7
 G29_S2W  34.0   8.5  48.7
 G29_S2L  36.9  22.1  44.9
 G24_S1C  41.8  21.1  50.9
 G24_S1W  42.7   4.3  56.7
 G24_S2W  42.7   4.3  56.7
 G24_S2L  40.9  20.0  49.2
 G24_S5Q  38.4  19.1  45.6
 G12_S1C  43.0  24.7  49.3
 G12_S1W  39.3   6.1  51.3
 G12_S2W  39.3   6.1  51.3
 G12_S2L  40.1  20.4  46.1
 G23_S1C  43.5  20.8  50.0
 G23_S5Q  39.2  24.6  47.2
 G23_S1L  43.9  22.8  50.4
 G23_S1W  33.6   8.8  47.2
 G23_S2W  33.6   8.8  47.2
 G23_S2L  44.7  31.0  52.6
 G25_S1C  42.9  23.9  50.0
 G25_S1W  41.0   7.2  54.2
 G25_S2W  41.0   7.2  54.2
 G25_S2L  40.6  22.8  47.8
 G25_S5Q  38.5  20.2  44.5
 G32_S1C  45.8  27.0  53.2
 G32_S1W  45.4  10.1  57.7
 G32_S2W  45.4  10.1  57.7
 G32_S2L  43.3  28.4  50.1
 G32_S5Q  37.7  22.5  43.9
 J03_S1C  32.9  20.0  36.8
 J03_S2L  34.7  23.2  38.6
 J03_S5Q  29.3  21.6  32.4
 J03_S1L  33.4  19.6  37.2
 J03_S1Z  34.5  28.6  38.2
 J07_S1Z  32.3  29.1  34.1
 J04_S1C  32.6  21.5  37.7
 J04_S1Z  34.3  29.5  38.8
 J04_S1L  32.9  23.1  37.9
 J04_S2L  33.8  22.7  37.3
 J04_S5Q  30.2  27.7  31.9
 J02_S1L  32.4  23.0  35.8
 J02_S1Z  33.8  28.3  36.8
 J02_S1C  32.5  23.2  35.7
 J02_S2L  33.1  20.1  37.6
 J02_S5Q  27.0  20.1  30.5
 R05_S1C  40.7  19.2  49.8
 R05_S1P  40.9  23.4  49.6
 R05_S2P  40.5  28.2  49.0
 R05_S2C  39.4  20.1  48.8
 R06_S1C  33.7  22.4  41.2
 R06_S1P  33.6  26.5  40.3
 R14_S1C  45.8  21.2  52.6
 R14_S1P  45.8  26.4  52.7
 R14_S2P  43.7  28.7  50.4
 R14_S2C  42.8  20.3  50.4
 R15_S1C  42.3  22.0  49.8
 R15_S1P  41.8  24.4  49.3
 R15_S2P  40.8  27.9  48.4
 R15_S2C  39.9  21.5  47.9
 R16_S1C  44.9  27.4  50.8
 R16_S1P  44.5  26.6  50.6
 R16_S2P  43.3  28.4  48.8
 R16_S2C  43.1  26.5  49.0
 R17_S1C  38.1  19.6  45.9
 R17_S1P  37.9  25.4  45.2
 R17_S2P  37.9  28.2  45.2
 R17_S2C  37.6  20.4  45.2
 R18_S1C  41.5  17.8  49.9
 R18_S1P  41.1  25.7  49.6
 R18_S2P  40.8  30.2  49.0
 R18_S2C  40.7  20.8  49.0
 R19_S1C  35.0  19.6  39.0
 R19_S1P  34.7  25.0  38.0
 R19_S2P  42.1  28.4  46.4
 R19_S2C  40.2  19.5  46.2
 R09_S1C  43.6  24.0  50.5
 R09_S1P  43.4  26.6  50.3
 R09_S2P  44.1  28.2  51.2
 R09_S2C  44.1  22.9  51.0
 R20_S2C  40.4  19.5  47.9
 R20_S1C  31.9  18.7  37.5
 R20_S2P  41.7  29.1  48.2
 R20_S1P  33.5  25.2  37.4
 R21_S1C  40.9  31.5  45.7
 R21_S2P  40.5  28.8  46.2
 R21_S2C  40.0  21.8  45.7
 R21_S1P  40.5  30.4  45.2
 R10_S1C  38.9  19.2  47.4
 R10_S1P  40.7  24.2  46.9
 R04_S1C  40.2  23.5  47.8
 R04_S2C  40.2  23.8  48.1
 R04_S2P  40.9  27.6  48.0
 R04_S1P  42.1  27.6  47.2
 R11_S1C  39.8  20.5  49.1
 R11_S2P  39.6  27.7  48.5
 R11_S2C  38.7  18.7  48.1
 R11_S1P  40.0  25.3  48.6
 R22_S2C  41.8  21.7  48.6
 R22_S1C  43.1  21.6  50.2
 R22_S2P  42.7  27.6  48.6
 R22_S1P  43.5  25.7  50.5
 R07_S2C  40.6  25.4  48.0
 R07_S1C  41.2  24.5  48.3
 R07_S2P  40.8  26.6  48.0
 R07_S1P  40.9  26.2  47.8
 R12_S1C  40.8  20.5  49.1
 R12_S1P  41.0  25.3  49.7
 R12_S2P  39.1  29.4  46.5
 R12_S2C  38.7  18.9  46.5
 R08_S1C  41.5  24.9  46.8
 R08_S2P  41.7  27.8  48.2
 R08_S2C  40.8  22.3  48.0
 R08_S1P  41.2  27.3  46.3
 R26_S1C  46.3  27.1  51.8
 R26_S1P  46.0  29.7  51.8
 R26_S2P  44.1  28.6  51.0
 R26_S2C  44.1  24.0  50.6
 R23_S1C  40.9  26.3  46.3
 R23_S1P  40.4  24.7  46.1
 R01_S1C  38.2  20.3  44.7
 R01_S1P  38.8  25.7  44.0
 R01_S2C  34.7  18.5  41.4
 R01_S2P  35.5  28.7  41.2
 R02_S1C  43.1  27.1  48.2
 R02_S1P  42.8  31.5  47.8
 R02_S2P  41.0  29.2  45.0
 R02_S2C  40.8  27.7  45.5
 R24_S2C  38.9  18.6  46.9
 R24_S1C  41.1  21.0  48.8
 R24_S1P  42.1  25.3  49.0
 R24_S2P  41.2  29.0  47.2
 R13_S1C  39.4  26.0  45.5
 R13_S1P  39.1  27.6  45.0
 R03_S1C  41.9  28.4  48.4
 R03_S2P  42.1  30.3  47.5
 R03_S2C  41.7  28.9  47.2
 R03_S1P  41.8  28.6  47.7
--------------------------
-SAT
